gemeinde,modell,n_segmente,MAE,RMSE,MAPE
GM0047,XGB_D1_single,486667,7.87,11.3,14.6
GM0047,XGB_D2_multi4,486667,26.56,44.19,45.5
GM0047,XGB_D3_mittel6,486667,41.37,57.31,85.7
GM0047,XGB_D4_gross10,486667,27.21,40.94,52.0
GM0047,XGB_D5_fremd,486667,44.14,56.96,94.8
GM0047,XGB_D6_coord,486667,6.78,10.65,10.9
GM0047,RF_D1_single,486667,8.2,11.95,16.0
GM0047,RF_D2_multi4,486667,22.2,28.39,44.1
GM0047,RF_D3_mittel6,486667,46.57,67.89,88.2
GM0047,RF_D4_gross10,486667,26.17,38.2,47.4
GM0047,RF_D5_fremd,486667,37.08,50.98,74.2
GM0047,RF_D6_coord,486667,6.1,9.85,9.5
GM0047,Ridge_D1_single,486667,17.68,24.69,30.8
GM0047,Ridge_D2_multi4,486667,19.56,26.25,37.9
GM0047,Ridge_D3_mittel6,486667,20.27,27.61,43.5
GM0047,Ridge_D4_gross10,486667,21.06,29.06,45.1
GM0047,Ridge_D5_fremd,486667,21.1,29.83,44.2
GM0047,Ridge_D6_coord,486667,19.21,31.3,28.4
GM0047,MLPv2_D1_single,486667,17.05,22.13,35.5
GM0047,MLPv2_D2_multi4,486667,28.38,42.26,55.4
GM0047,MLPv2_D3_mittel6,486667,27.79,39.04,56.2
GM0047,MLPv2_D4_gross10,486667,27.26,47.77,43.1
GM0047,MLPv2_D5_fremd,486667,32.28,46.75,58.0
GM0047,MLPv2_D6_coord,486667,14.59,21.89,24.6
GM0059,XGB_D1_single,174803,30.35,44.29,38.1
GM0059,XGB_D2_multi4,174803,26.18,36.17,41.9
GM0059,XGB_D3_mittel6,174803,29.04,40.46,36.4
GM0059,XGB_D4_gross10,174803,30.95,41.59,51.4
GM0059,XGB_D5_fremd,174803,33.57,43.35,50.9
GM0059,XGB_D6_coord,174803,30.73,45.65,35.0
GM0059,RF_D1_single,174803,28.41,44.02,35.5
GM0059,RF_D2_multi4,174803,34.3,51.54,57.4
GM0059,RF_D3_mittel6,174803,28.31,39.87,34.6
